PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
Android-Universal-Image-Loader-master	java.lang.Throwable	Checked	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.Exception	Checked	Java	3	0	2
Android-Universal-Image-Loader-master	java.security.NoSuchAlgorithmException	Checked	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.InterruptedException	Checked	Java	2	0	0
Android-Universal-Image-Loader-master	com.nostra13.universalimageloader.core.LoadAndDisplayImageTask.TaskCancelledException	Checked	System	2	0	0
Android-Universal-Image-Loader-master	java.lang.RuntimeException	Unchecked	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.NumberFormatException	Unchecked	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.IllegalStateException	Unchecked	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.NullPointerException	Unchecked	Java	1	0	0
Android-Universal-Image-Loader-master	java.io.IOException	Checked	Java	21	0	3
Android-Universal-Image-Loader-master	java.io.UnsupportedEncodingException	Checked	Java	1	0	0
Android-Universal-Image-Loader-master	java.io.FileNotFoundException	Checked	Java	4	0	0
Android-Universal-Image-Loader-master	java.io.EOFException	Checked	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.IncompatibleClassChangeError	Error	Java	1	0	0
Android-Universal-Image-Loader-master	java.lang.OutOfMemoryError	Error	Java	2	0	0



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.lang.OutOfMemoryError	Error	Java	false	false
2	java.io.IOException	Checked	Java	false	false
3	java.io.IOException	Checked	Java	false	true
4	java.lang.Exception	Checked	Java	false	true
5	java.lang.NullPointerException	Unchecked	Java	false	false
6	java.lang.IncompatibleClassChangeError	Error	Java	false	false
7	java.io.IOException	Checked	Java	false	false
8	java.io.IOException	Checked	Java	false	false
9	com.nostra13.universalimageloader.core.LoadAndDisplayImageTask.TaskCancelledException	Checked	System	false	false
10	java.lang.InterruptedException	Checked	Java	false	false
11	java.lang.InterruptedException	Checked	Java	false	false
12	java.lang.IllegalStateException	Unchecked	Java	false	false
13	com.nostra13.universalimageloader.core.LoadAndDisplayImageTask.TaskCancelledException	Checked	System	false	false
14	java.io.IOException	Checked	Java	false	false
15	java.lang.OutOfMemoryError	Error	Java	false	false
16	java.lang.Throwable	Checked	Java	false	false
17	java.io.IOException	Checked	Java	false	false
18	java.lang.Exception	Checked	Java	false	false
19	java.io.IOException	Checked	Java	false	false
20	java.io.IOException	Checked	Java	false	false
21	java.io.IOException	Checked	Java	false	true
22	java.security.NoSuchAlgorithmException	Checked	Java	false	false
23	java.io.IOException	Checked	Java	false	false
24	java.io.EOFException	Checked	Java	false	false
25	java.io.FileNotFoundException	Checked	Java	false	false
26	java.io.FileNotFoundException	Checked	Java	false	false
27	java.io.FileNotFoundException	Checked	Java	false	false
28	java.io.FileNotFoundException	Checked	Java	false	false
29	java.io.IOException	Checked	Java	false	true
30	java.io.IOException	Checked	Java	false	false
31	java.io.IOException	Checked	Java	false	false
32	java.io.IOException	Checked	Java	false	false
33	java.io.IOException	Checked	Java	false	false
34	java.lang.NumberFormatException	Unchecked	Java	false	false
35	java.io.IOException	Checked	Java	false	false
36	java.io.IOException	Checked	Java	false	false
37	java.io.IOException	Checked	Java	false	false
38	java.io.IOException	Checked	Java	false	false
39	java.io.IOException	Checked	Java	false	false
40	java.io.IOException	Checked	Java	false	false
41	java.io.UnsupportedEncodingException	Checked	Java	false	false
42	java.lang.RuntimeException	Unchecked	Java	false	false
43	java.lang.Exception	Checked	Java	false	true
