EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.lang.InterruptedException
		java.lang.RuntimeException
			org.greenrobot.eventbus.EventBusException
		java.io.IOException
		java.lang.ReflectiveOperationException
			java.lang.reflect.InvocationTargetException
			java.lang.IllegalAccessException
			java.lang.NoSuchMethodException
			java.lang.InstantiationException


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
EventBus-master	java.lang.Throwable	1	0	0
EventBus-master	java.lang.Exception	10	0	0
EventBus-master	java.lang.InterruptedException	10	0	2
EventBus-master	java.lang.RuntimeException	2	0	1
EventBus-master	org.greenrobot.eventbus.EventBusException	5	0	3
EventBus-master	java.io.IOException	2	0	1
EventBus-master	java.lang.ReflectiveOperationException	0	0	0
EventBus-master	java.lang.reflect.InvocationTargetException	1	0	0
EventBus-master	java.lang.IllegalAccessException	2	0	0
EventBus-master	java.lang.NoSuchMethodException	2	0	0
EventBus-master	java.lang.InstantiationException	1	0	0


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
EventBus-master	1	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	2	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	3	java.lang.RuntimeException	Unchecked	Java	false	true
EventBus-master	4	org.greenrobot.eventbus.EventBusException	Unchecked	System	false	true
EventBus-master	5	org.greenrobot.eventbus.EventBusException	Unchecked	System	false	true
EventBus-master	6	org.greenrobot.eventbus.EventBusException	Unchecked	System	false	true
EventBus-master	7	org.greenrobot.eventbus.EventBusException	Unchecked	System	false	false
EventBus-master	8	org.greenrobot.eventbus.EventBusException	Unchecked	System	false	false
EventBus-master	9	java.lang.InterruptedException	Checked	Java	false	true
EventBus-master	10	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	11	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	12	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	13	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	14	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	15	java.lang.Exception	Checked	Java	false	false
EventBus-master	16	java.lang.InterruptedException	Checked	Java	false	true
EventBus-master	17	java.lang.Exception	Checked	Java	false	false
EventBus-master	18	java.lang.Exception	Checked	Java	false	false
EventBus-master	19	java.lang.Exception	Checked	Java	false	false
EventBus-master	20	java.lang.Exception	Checked	Java	false	false
EventBus-master	21	java.lang.Exception	Checked	Java	false	false
EventBus-master	22	java.lang.Exception	Checked	Java	false	false
EventBus-master	23	java.lang.RuntimeException	Unchecked	Java	false	false
EventBus-master	24	java.io.IOException	Checked	Java	false	false
EventBus-master	25	java.io.IOException	Checked	Java	false	true
EventBus-master	26	java.lang.InterruptedException	Checked	Java	false	false
EventBus-master	27	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
EventBus-master	28	java.lang.IllegalAccessException	Checked	Java	false	false
EventBus-master	29	java.lang.Throwable	Checked	Java	false	false
EventBus-master	30	java.lang.NoSuchMethodException	Checked	Java	false	false
EventBus-master	31	java.lang.Exception	Checked	Java	false	false
EventBus-master	32	java.lang.Exception	Checked	Java	false	false
EventBus-master	33	java.lang.Exception	Checked	Java	false	false
EventBus-master	34	java.lang.InstantiationException	Checked	Java	false	false
EventBus-master	35	java.lang.IllegalAccessException	Checked	Java	false	false
EventBus-master	36	java.lang.NoSuchMethodException	Checked	Java	false	false


