EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.io.IOException
		java.lang.InterruptedException
		java.lang.RuntimeException
			java.lang.IllegalArgumentException
				java.lang.NumberFormatException
			com.netflix.hystrix.exception.HystrixRuntimeException
			java.util.NoSuchElementException
			java.lang.SecurityException
			java.lang.ClassCastException
			java.lang.IllegalStateException
			java.lang.NullPointerException
			com.netflix.hystrix.contrib.javanica.exception.CommandActionExecutionException
			com.netflix.hystrix.exception.HystrixBadRequestException
		java.lang.ReflectiveOperationException
			java.lang.NoSuchMethodException
			java.lang.ClassNotFoundException
			java.lang.reflect.InvocationTargetException
			java.lang.IllegalAccessException
			java.lang.InstantiationException
		java.security.PrivilegedActionException
		java.beans.IntrospectionException
	java.lang.Error
		java.lang.LinkageError
			java.lang.IncompatibleClassChangeError
				java.lang.NoSuchFieldError


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
Hystrix-master	java.lang.Throwable	11	0	0
Hystrix-master	java.lang.Exception	34	1	5
Hystrix-master	java.io.IOException	4	0	0
Hystrix-master	java.lang.InterruptedException	11	0	8
Hystrix-master	java.lang.RuntimeException	0	0	0
Hystrix-master	java.lang.IllegalArgumentException	7	0	1
Hystrix-master	java.lang.NumberFormatException	1	0	0
Hystrix-master	com.netflix.hystrix.exception.HystrixRuntimeException	3	0	0
Hystrix-master	java.util.NoSuchElementException	1	0	0
Hystrix-master	java.lang.SecurityException	1	0	0
Hystrix-master	java.lang.ClassCastException	1	0	0
Hystrix-master	java.lang.IllegalStateException	2	0	0
Hystrix-master	java.lang.NullPointerException	1	0	0
Hystrix-master	com.netflix.hystrix.contrib.javanica.exception.CommandActionExecutionException	2	0	0
Hystrix-master	com.netflix.hystrix.exception.HystrixBadRequestException	1	0	0
Hystrix-master	java.lang.ReflectiveOperationException	0	0	0
Hystrix-master	java.lang.NoSuchMethodException	4	0	0
Hystrix-master	java.lang.ClassNotFoundException	5	0	0
Hystrix-master	java.lang.reflect.InvocationTargetException	7	0	1
Hystrix-master	java.lang.IllegalAccessException	8	0	1
Hystrix-master	java.lang.InstantiationException	2	0	0
Hystrix-master	java.security.PrivilegedActionException	1	0	0
Hystrix-master	java.beans.IntrospectionException	1	0	0
Hystrix-master	java.lang.Error	0	0	0
Hystrix-master	java.lang.LinkageError	0	0	0
Hystrix-master	java.lang.IncompatibleClassChangeError	0	0	0
Hystrix-master	java.lang.NoSuchFieldError	8	0	0


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
Hystrix-master	1	java.lang.Exception	Checked	Java	false	false
Hystrix-master	2	java.lang.Exception	Checked	Java	false	false
Hystrix-master	3	java.lang.Exception	Checked	Java	false	false
Hystrix-master	4	java.lang.Exception	Checked	Java	false	false
Hystrix-master	5	java.io.IOException	Checked	Java	false	false
Hystrix-master	6	java.io.IOException	Checked	Java	false	false
Hystrix-master	7	java.io.IOException	Checked	Java	false	false
Hystrix-master	8	java.lang.NoSuchFieldError	Error	Java	false	false
Hystrix-master	9	java.lang.Exception	Checked	Java	false	false
Hystrix-master	10	java.lang.Exception	Checked	Java	false	false
Hystrix-master	11	java.lang.Exception	Checked	Java	false	false
Hystrix-master	12	java.lang.Exception	Checked	Java	false	false
Hystrix-master	13	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	14	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	15	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	16	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	17	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	18	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	19	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	20	java.lang.InterruptedException	Checked	Java	false	true
Hystrix-master	21	java.lang.InterruptedException	Checked	Java	false	false
Hystrix-master	22	java.lang.IllegalArgumentException	Unchecked	Java	false	false
Hystrix-master	23	java.lang.Exception	Checked	Java	false	true
Hystrix-master	24	java.lang.Exception	Checked	Java	true	false
Hystrix-master	25	java.lang.Exception	Checked	Java	false	true
Hystrix-master	26	com.netflix.hystrix.exception.HystrixRuntimeException	Unchecked	System	false	false
Hystrix-master	27	com.netflix.hystrix.exception.HystrixRuntimeException	Unchecked	System	false	false
Hystrix-master	28	java.lang.InterruptedException	Checked	Java	false	false
Hystrix-master	29	java.lang.Exception	Checked	Java	false	false
Hystrix-master	30	java.lang.Exception	Checked	Java	false	false
Hystrix-master	31	java.util.NoSuchElementException	Unchecked	Java	false	false
Hystrix-master	32	java.lang.Exception	Checked	Java	false	false
Hystrix-master	33	java.lang.Throwable	Checked	Java	false	false
Hystrix-master	34	java.lang.Exception	Checked	Java	false	false
Hystrix-master	35	java.lang.NoSuchMethodException	Checked	Java	false	false
Hystrix-master	36	java.lang.Exception	Checked	Java	false	false
Hystrix-master	37	java.lang.InterruptedException	Checked	Java	false	false
Hystrix-master	38	java.lang.Exception	Checked	Java	false	true
Hystrix-master	39	java.lang.Exception	Checked	Java	false	false
Hystrix-master	40	java.lang.Exception	Checked	Java	false	true
Hystrix-master	41	java.lang.Exception	Checked	Java	false	false
Hystrix-master	42	java.lang.ClassNotFoundException	Checked	Java	false	false
Hystrix-master	43	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
Hystrix-master	44	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	45	java.lang.NoSuchMethodException	Checked	Java	false	false
Hystrix-master	46	java.lang.IllegalAccessException	Checked	Java	false	false
Hystrix-master	47	java.lang.ClassNotFoundException	Checked	Java	false	false
Hystrix-master	48	java.lang.NoSuchMethodException	Checked	Java	false	false
Hystrix-master	49	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
Hystrix-master	50	java.lang.Exception	Checked	Java	false	false
Hystrix-master	51	java.lang.Exception	Checked	Java	false	false
Hystrix-master	52	java.lang.SecurityException	Unchecked	Java	false	false
Hystrix-master	53	java.security.PrivilegedActionException	Checked	Java	false	false
Hystrix-master	54	java.lang.Exception	Checked	Java	false	true
Hystrix-master	55	java.lang.IllegalAccessException	Checked	Java	false	true
