EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.io.IOException
		java.lang.RuntimeException
			java.lang.IllegalArgumentException
		java.lang.InterruptedException


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
MPAndroidChart-master	java.lang.Throwable	0	0	0
MPAndroidChart-master	java.lang.Exception	1	0	0
MPAndroidChart-master	java.io.IOException	8	0	0
MPAndroidChart-master	java.lang.RuntimeException	0	0	0
MPAndroidChart-master	java.lang.IllegalArgumentException	2	0	2
MPAndroidChart-master	java.lang.InterruptedException	1	1	0


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
MPAndroidChart-master	1	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	2	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	3	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	4	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	5	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	6	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	7	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	8	java.lang.IllegalArgumentException	Unchecked	Java	false	true
MPAndroidChart-master	9	java.lang.IllegalArgumentException	Unchecked	Java	false	true
MPAndroidChart-master	10	java.lang.Exception	Checked	Java	false	false
MPAndroidChart-master	11	java.io.IOException	Checked	Java	false	false
MPAndroidChart-master	12	java.lang.InterruptedException	Checked	Java	true	false


