PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
android-async-http-master	java.lang.Throwable	Checked	Java	10	0	0
android-async-http-master	java.lang.OutOfMemoryError	Error	Java	2	0	0
android-async-http-master	java.lang.Exception	Checked	Java	4	1	0
android-async-http-master	javax.xml.parsers.ParserConfigurationException	Checked	Java	1	0	0
android-async-http-master	org.xml.sax.SAXException	Checked	Library	1	0	0
android-async-http-master	org.json.JSONException	Checked	Library	4	0	0
android-async-http-master	java.util.regex.PatternSyntaxException	Unchecked	Java	1	0	0
android-async-http-master	java.lang.NullPointerException	Unchecked	Java	1	0	0
android-async-http-master	android.content.res.Resources.NotFoundException	Unchecked	Library	1	0	0
android-async-http-master	java.security.UnrecoverableKeyException	Checked	Java	1	0	0
android-async-http-master	java.security.KeyManagementException	Checked	Java	1	0	0
android-async-http-master	java.security.NoSuchAlgorithmException	Checked	Java	1	0	0
android-async-http-master	java.security.cert.CertificateException	Checked	Java	1	0	0
android-async-http-master	java.security.KeyStoreException	Checked	Java	1	0	0
android-async-http-master	java.io.IOException	Checked	Java	13	0	1
android-async-http-master	java.net.UnknownHostException	Checked	Java	1	0	0
android-async-http-master	java.io.UnsupportedEncodingException	Checked	Java	5	0	0
android-async-http-master	java.io.FileNotFoundException	Checked	Java	1	0	0



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.lang.Exception	Checked	Java	false	false
2	java.lang.Exception	Checked	Java	true	false
3	java.io.IOException	Checked	Java	false	false
4	java.security.KeyStoreException	Checked	Java	false	false
5	java.io.IOException	Checked	Java	false	false
6	java.security.cert.CertificateException	Checked	Java	false	false
7	java.security.NoSuchAlgorithmException	Checked	Java	false	false
8	java.security.KeyManagementException	Checked	Java	false	false
9	java.security.UnrecoverableKeyException	Checked	Java	false	false
10	android.content.res.Resources.NotFoundException	Unchecked	Library	false	false
11	java.lang.Throwable	Checked	Java	false	false
12	java.lang.Throwable	Checked	Java	false	false
13	java.io.FileNotFoundException	Checked	Java	false	false
14	java.lang.Throwable	Checked	Java	false	false
15	org.json.JSONException	Checked	Library	false	false
16	org.json.JSONException	Checked	Library	false	false
17	java.io.IOException	Checked	Java	false	false
18	java.io.IOException	Checked	Java	false	false
19	java.lang.Throwable	Checked	Java	false	false
20	java.io.UnsupportedEncodingException	Checked	Java	false	false
21	java.lang.Exception	Checked	Java	false	false
22	java.io.IOException	Checked	Java	false	false
23	java.io.IOException	Checked	Java	false	false
24	java.lang.Throwable	Checked	Java	false	false
25	java.io.IOException	Checked	Java	false	false
26	java.io.IOException	Checked	Java	false	false
27	java.lang.Exception	Checked	Java	false	false
28	java.net.UnknownHostException	Checked	Java	false	false
29	java.lang.NullPointerException	Unchecked	Java	false	false
30	java.io.IOException	Checked	Java	false	false
31	java.lang.Throwable	Checked	Java	false	false
32	java.lang.Throwable	Checked	Java	false	false
33	java.lang.OutOfMemoryError	Error	Java	false	false
34	java.io.UnsupportedEncodingException	Checked	Java	false	false
35	java.io.UnsupportedEncodingException	Checked	Java	false	false
36	java.io.IOException	Checked	Java	false	false
37	java.io.IOException	Checked	Java	false	false
38	java.lang.Throwable	Checked	Java	false	false
39	java.lang.Throwable	Checked	Java	false	false
40	java.util.regex.PatternSyntaxException	Unchecked	Java	false	false
41	java.lang.Throwable	Checked	Java	false	false
42	java.lang.OutOfMemoryError	Error	Java	false	false
43	java.io.IOException	Checked	Java	false	false
44	org.json.JSONException	Checked	Library	false	false
45	org.json.JSONException	Checked	Library	false	false
46	java.io.UnsupportedEncodingException	Checked	Java	false	false
47	org.xml.sax.SAXException	Checked	Library	false	false
48	javax.xml.parsers.ParserConfigurationException	Checked	Java	false	false
49	java.io.IOException	Checked	Java	false	true
50	java.io.UnsupportedEncodingException	Checked	Java	false	false
