EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.lang.RuntimeException
			java.lang.IllegalArgumentException
				java.lang.NumberFormatException
			java.lang.SecurityException
				java.security.AccessControlException
			com.alibaba.fastjson.JSONException
			java.lang.ClassCastException
		java.io.IOException
			java.nio.charset.CharacterCodingException
			java.net.MalformedURLException
			java.net.UnknownHostException
		java.lang.ReflectiveOperationException
			java.lang.reflect.InvocationTargetException
			java.lang.IllegalAccessException
			java.lang.ClassNotFoundException
			java.lang.NoSuchMethodException
		java.lang.CloneNotSupportedException
		java.text.ParseException
		javax.xml.datatype.DatatypeConfigurationException
		java.sql.SQLException
	java.lang.Error
		java.lang.LinkageError
			java.lang.ClassFormatError
			java.lang.ExceptionInInitializerError
			java.lang.NoClassDefFoundError


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
fastjson-master	java.lang.Throwable	19	1	7
fastjson-master	java.lang.Exception	56	0	6
fastjson-master	java.lang.RuntimeException	1	0	0
fastjson-master	java.lang.IllegalArgumentException	2	0	1
fastjson-master	java.lang.NumberFormatException	4	0	1
fastjson-master	java.lang.SecurityException	3	0	3
fastjson-master	java.security.AccessControlException	2	0	1
fastjson-master	com.alibaba.fastjson.JSONException	8	0	0
fastjson-master	java.lang.ClassCastException	3	0	3
fastjson-master	java.io.IOException	15	0	2
fastjson-master	java.nio.charset.CharacterCodingException	1	0	0
fastjson-master	java.net.MalformedURLException	1	0	0
fastjson-master	java.net.UnknownHostException	1	0	0
fastjson-master	java.lang.ReflectiveOperationException	0	0	0
fastjson-master	java.lang.reflect.InvocationTargetException	6	0	1
fastjson-master	java.lang.IllegalAccessException	5	0	1
fastjson-master	java.lang.ClassNotFoundException	6	0	3
fastjson-master	java.lang.NoSuchMethodException	6	0	4
fastjson-master	java.lang.CloneNotSupportedException	1	0	1
fastjson-master	java.text.ParseException	6	0	3
fastjson-master	javax.xml.datatype.DatatypeConfigurationException	1	0	0
fastjson-master	java.sql.SQLException	1	0	0
fastjson-master	java.lang.Error	0	0	0
fastjson-master	java.lang.LinkageError	0	0	0
fastjson-master	java.lang.ClassFormatError	1	0	1
fastjson-master	java.lang.ExceptionInInitializerError	1	0	1
fastjson-master	java.lang.NoClassDefFoundError	1	0	1


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
fastjson-master	1	java.lang.RuntimeException	Unchecked	Java	false	false
fastjson-master	2	java.io.IOException	Checked	Java	false	false
fastjson-master	3	java.lang.Exception	Checked	Java	false	false
fastjson-master	4	java.lang.Exception	Checked	Java	false	false
fastjson-master	5	java.lang.NumberFormatException	Unchecked	Java	false	false
fastjson-master	6	java.lang.Exception	Checked	Java	false	false
fastjson-master	7	java.lang.Exception	Checked	Java	false	false
fastjson-master	8	java.lang.Exception	Checked	Java	false	false
fastjson-master	9	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
fastjson-master	10	java.lang.IllegalAccessException	Checked	Java	false	false
fastjson-master	11	java.lang.Exception	Checked	Java	false	false
fastjson-master	12	java.lang.Exception	Checked	Java	false	false
fastjson-master	13	java.lang.CloneNotSupportedException	Checked	Java	false	true
fastjson-master	14	java.lang.ClassNotFoundException	Checked	Java	false	true
fastjson-master	15	java.lang.ClassNotFoundException	Checked	Java	false	false
fastjson-master	16	java.lang.Exception	Checked	Java	false	false
fastjson-master	17	java.lang.Throwable	Checked	Java	false	true
fastjson-master	18	java.lang.SecurityException	Unchecked	Java	false	true
fastjson-master	19	java.io.IOException	Checked	Java	false	true
fastjson-master	20	java.lang.Exception	Checked	Java	false	true
fastjson-master	21	java.nio.charset.CharacterCodingException	Checked	Java	false	false
fastjson-master	22	java.lang.Exception	Checked	Java	false	false
fastjson-master	23	java.lang.NoSuchMethodException	Checked	Java	false	true
fastjson-master	24	java.lang.SecurityException	Unchecked	Java	false	true
fastjson-master	25	java.lang.NoSuchMethodException	Checked	Java	false	true
fastjson-master	26	java.lang.SecurityException	Unchecked	Java	false	true
fastjson-master	27	java.io.IOException	Checked	Java	false	true
fastjson-master	28	java.lang.Exception	Checked	Java	false	true
fastjson-master	29	java.lang.Throwable	Checked	Java	false	true
fastjson-master	30	java.text.ParseException	Checked	Java	false	false
fastjson-master	31	java.lang.NoSuchMethodException	Checked	Java	false	true
fastjson-master	32	java.lang.Exception	Checked	Java	false	false
fastjson-master	33	java.lang.NoSuchMethodException	Checked	Java	false	true
fastjson-master	34	java.lang.Exception	Checked	Java	false	false
fastjson-master	35	java.lang.NumberFormatException	Unchecked	Java	false	true
fastjson-master	36	java.lang.Exception	Checked	Java	false	false
fastjson-master	37	java.lang.Exception	Checked	Java	false	false
fastjson-master	38	java.lang.Exception	Checked	Java	false	false
fastjson-master	39	java.lang.Throwable	Checked	Java	false	false
fastjson-master	40	java.lang.Throwable	Checked	Java	true	false
fastjson-master	41	java.lang.Throwable	Checked	Java	false	true
fastjson-master	42	java.lang.Throwable	Checked	Java	false	true
fastjson-master	43	java.lang.Exception	Checked	Java	false	true
fastjson-master	44	java.security.AccessControlException	Unchecked	Java	false	false
fastjson-master	45	java.lang.Exception	Checked	Java	false	false
fastjson-master	46	java.lang.Exception	Checked	Java	false	true
fastjson-master	47	java.lang.Throwable	Checked	Java	false	false
fastjson-master	48	java.lang.Throwable	Checked	Java	false	false
fastjson-master	49	java.lang.Throwable	Checked	Java	false	true
fastjson-master	50	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	51	java.io.IOException	Checked	Java	false	false
fastjson-master	52	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	53	java.lang.Exception	Checked	Java	false	false
fastjson-master	54	java.lang.Exception	Checked	Java	false	false
fastjson-master	55	java.lang.Exception	Checked	Java	false	false
fastjson-master	56	java.lang.Exception	Checked	Java	false	false
fastjson-master	57	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	58	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	59	java.lang.IllegalAccessException	Checked	Java	false	true
fastjson-master	60	java.lang.reflect.InvocationTargetException	Checked	Java	false	true
fastjson-master	61	java.lang.Exception	Checked	Java	false	false
fastjson-master	62	java.lang.Exception	Checked	Java	false	false
fastjson-master	63	javax.xml.datatype.DatatypeConfigurationException	Checked	Java	false	false
fastjson-master	64	java.sql.SQLException	Checked	Java	false	false
fastjson-master	65	java.lang.Exception	Checked	Java	false	false
fastjson-master	66	java.text.ParseException	Checked	Java	false	true
fastjson-master	67	java.lang.Exception	Checked	Java	false	false
fastjson-master	68	java.lang.Exception	Checked	Java	false	false
fastjson-master	69	java.lang.Exception	Checked	Java	false	false
fastjson-master	70	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
fastjson-master	71	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
fastjson-master	72	java.lang.IllegalAccessException	Checked	Java	false	false
fastjson-master	73	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
fastjson-master	74	java.lang.IllegalAccessException	Checked	Java	false	false
fastjson-master	75	java.io.IOException	Checked	Java	false	false
fastjson-master	76	java.io.IOException	Checked	Java	false	false
fastjson-master	77	java.io.IOException	Checked	Java	false	false
fastjson-master	78	java.io.IOException	Checked	Java	false	false
fastjson-master	79	java.lang.Exception	Checked	Java	false	false
fastjson-master	80	java.lang.Exception	Checked	Java	false	true
fastjson-master	81	java.net.MalformedURLException	Checked	Java	false	false
fastjson-master	82	java.net.UnknownHostException	Checked	Java	false	false
fastjson-master	83	java.lang.NoSuchMethodException	Checked	Java	false	false
fastjson-master	84	java.lang.IllegalAccessException	Checked	Java	false	false
fastjson-master	85	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
fastjson-master	86	java.lang.Throwable	Checked	Java	false	true
fastjson-master	87	java.lang.ClassNotFoundException	Checked	Java	false	true
fastjson-master	88	java.lang.ClassFormatError	Error	Java	false	true
fastjson-master	89	java.lang.ClassCastException	Unchecked	Java	false	true
fastjson-master	90	java.lang.Throwable	Checked	Java	false	false
fastjson-master	91	java.lang.Throwable	Checked	Java	false	false
fastjson-master	92	java.lang.ClassCastException	Unchecked	Java	false	true
fastjson-master	93	java.lang.ClassCastException	Unchecked	Java	false	true
fastjson-master	94	java.lang.Throwable	Checked	Java	false	false
fastjson-master	95	java.lang.Throwable	Checked	Java	false	false
fastjson-master	96	java.lang.Throwable	Checked	Java	false	false
fastjson-master	97	java.lang.ClassNotFoundException	Checked	Java	false	false
fastjson-master	98	java.lang.ClassNotFoundException	Checked	Java	false	false
fastjson-master	99	java.lang.ClassNotFoundException	Checked	Java	false	true
fastjson-master	100	java.io.IOException	Checked	Java	false	false
fastjson-master	101	java.io.IOException	Checked	Java	false	false
fastjson-master	102	java.lang.NumberFormatException	Unchecked	Java	false	false
fastjson-master	103	java.lang.Exception	Checked	Java	false	false
fastjson-master	104	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	105	java.lang.Throwable	Checked	Java	false	false
fastjson-master	106	java.lang.Exception	Checked	Java	false	false
fastjson-master	107	java.lang.NumberFormatException	Unchecked	Java	false	false
fastjson-master	108	java.io.IOException	Checked	Java	false	false
fastjson-master	109	java.io.IOException	Checked	Java	false	false
fastjson-master	110	java.io.IOException	Checked	Java	false	false
fastjson-master	111	java.io.IOException	Checked	Java	false	false
fastjson-master	112	java.lang.Exception	Checked	Java	false	false
fastjson-master	113	java.lang.ExceptionInInitializerError	Error	Java	false	true
fastjson-master	114	java.security.AccessControlException	Unchecked	Java	false	true
fastjson-master	115	java.lang.NoClassDefFoundError	Error	Java	false	true
fastjson-master	116	java.lang.Throwable	Checked	Java	false	false
fastjson-master	117	java.lang.Throwable	Checked	Java	false	false
fastjson-master	118	java.lang.Exception	Checked	Java	false	true
fastjson-master	119	java.lang.Throwable	Checked	Java	false	true
fastjson-master	120	java.lang.NoSuchMethodException	Checked	Java	false	false
fastjson-master	121	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	122	java.lang.Exception	Checked	Java	false	false
fastjson-master	123	java.lang.IllegalArgumentException	Unchecked	Java	false	false
fastjson-master	124	java.text.ParseException	Checked	Java	false	false
fastjson-master	125	java.text.ParseException	Checked	Java	false	false
fastjson-master	126	java.lang.Exception	Checked	Java	false	false
fastjson-master	127	java.io.IOException	Checked	Java	false	false
fastjson-master	128	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	129	java.lang.Exception	Checked	Java	false	false
fastjson-master	130	java.lang.Exception	Checked	Java	false	false
fastjson-master	131	com.alibaba.fastjson.JSONException	Unchecked	System	false	false
fastjson-master	132	java.lang.Exception	Checked	Java	false	false
fastjson-master	133	java.lang.Exception	Checked	Java	false	false
fastjson-master	134	java.lang.IllegalArgumentException	Unchecked	Java	false	true
fastjson-master	135	java.lang.Exception	Checked	Java	false	false
fastjson-master	136	java.lang.Exception	Checked	Java	false	false
fastjson-master	137	java.lang.Exception	Checked	Java	false	false
fastjson-master	138	java.lang.Exception	Checked	Java	false	false
fastjson-master	139	java.lang.Exception	Checked	Java	false	false
fastjson-master	140	java.lang.Exception	Checked	Java	false	false
fastjson-master	141	java.lang.Exception	Checked	Java	false	false
fastjson-master	142	java.lang.Exception	Checked	Java	false	false
fastjson-master	143	java.lang.Exception	Checked	Java	false	false
fastjson-master	144	java.lang.Exception	Checked	Java	false	false
fastjson-master	145	java.lang.Exception	Checked	Java	false	false
fastjson-master	146	java.lang.Exception	Checked	Java	false	false
fastjson-master	147	java.lang.Exception	Checked	Java	false	false
fastjson-master	148	java.lang.Exception	Checked	Java	false	false
fastjson-master	149	java.text.ParseException	Checked	Java	false	true
fastjson-master	150	java.text.ParseException	Checked	Java	false	true
fastjson-master	151	java.lang.Exception	Checked	Java	false	false


