EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.io.IOException
			java.io.UnsupportedEncodingException
			com.facebook.common.file.FileUtils.CreateDirectoryException
			java.io.FileNotFoundException
			com.facebook.common.file.FileUtils.RenameException
		java.lang.RuntimeException
			java.lang.NullPointerException
			java.lang.IllegalArgumentException
				java.lang.NumberFormatException
			android.content.res.Resources.NotFoundException
			android.database.SQLException
				android.database.sqlite.SQLiteException
		java.lang.InterruptedException
		java.security.GeneralSecurityException
			java.security.NoSuchAlgorithmException
	java.lang.Error
		java.lang.LinkageError
			java.lang.UnsatisfiedLinkError


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
fresco-master	java.lang.Throwable	10	0	4
fresco-master	java.lang.Exception	52	0	2
fresco-master	java.io.IOException	50	3	6
fresco-master	java.io.UnsupportedEncodingException	7	0	0
fresco-master	com.facebook.common.file.FileUtils.CreateDirectoryException	3	0	0
fresco-master	java.io.FileNotFoundException	1	0	0
fresco-master	com.facebook.common.file.FileUtils.RenameException	1	0	0
fresco-master	java.lang.RuntimeException	3	0	0
fresco-master	java.lang.NullPointerException	1	0	1
fresco-master	java.lang.IllegalArgumentException	2	0	0
fresco-master	java.lang.NumberFormatException	1	0	0
fresco-master	android.content.res.Resources.NotFoundException	1	0	0
fresco-master	android.database.SQLException	1	0	0
fresco-master	android.database.sqlite.SQLiteException	1	0	1
fresco-master	java.lang.InterruptedException	1	0	0
fresco-master	java.security.GeneralSecurityException	0	0	0
fresco-master	java.security.NoSuchAlgorithmException	2	0	0
fresco-master	java.lang.Error	0	0	0
fresco-master	java.lang.LinkageError	0	0	0
fresco-master	java.lang.UnsatisfiedLinkError	1	0	1


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
fresco-master	1	java.io.IOException	Checked	Java	false	false
fresco-master	2	java.lang.Exception	Checked	Java	false	true
fresco-master	3	java.lang.Exception	Checked	Java	false	true
fresco-master	4	java.lang.Throwable	Checked	Java	false	true
fresco-master	5	java.lang.UnsatisfiedLinkError	Error	Java	false	true
fresco-master	6	java.io.IOException	Checked	Java	false	false
fresco-master	7	java.io.IOException	Checked	Java	false	false
fresco-master	8	java.io.IOException	Checked	Java	false	false
fresco-master	9	java.lang.Exception	Checked	Java	false	false
fresco-master	10	java.lang.Exception	Checked	Java	false	false
fresco-master	11	java.io.IOException	Checked	Java	false	false
fresco-master	12	java.io.IOException	Checked	Java	false	false
fresco-master	13	java.io.IOException	Checked	Java	true	false
fresco-master	14	java.lang.Exception	Checked	Java	false	false
fresco-master	15	java.lang.Throwable	Checked	Java	false	false
fresco-master	16	java.lang.NullPointerException	Unchecked	Java	false	true
fresco-master	17	java.io.IOException	Checked	Java	false	false
fresco-master	18	java.io.IOException	Checked	Java	true	false
fresco-master	19	java.io.IOException	Checked	Java	true	false
fresco-master	20	java.lang.Throwable	Checked	Java	false	false
fresco-master	21	java.io.IOException	Checked	Java	false	true
fresco-master	22	java.lang.Throwable	Checked	Java	false	true
fresco-master	23	java.lang.IllegalArgumentException	Unchecked	Java	false	false
fresco-master	24	java.lang.Throwable	Checked	Java	false	true
fresco-master	25	java.io.IOException	Checked	Java	false	false
fresco-master	26	java.io.IOException	Checked	Java	false	false
fresco-master	27	java.io.UnsupportedEncodingException	Checked	Java	false	false
fresco-master	28	java.lang.Exception	Checked	Java	false	false
fresco-master	29	java.io.IOException	Checked	Java	false	false
fresco-master	30	com.facebook.common.file.FileUtils.CreateDirectoryException	Checked	System	false	false
fresco-master	31	com.facebook.common.file.FileUtils.CreateDirectoryException	Checked	System	false	false
