PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
guava-master	java.lang.Throwable	Checked	Java	162	0	6
guava-master	java.lang.Error	Error	Java	13	0	0
guava-master	java.lang.ThreadDeath	Error	Java	4	0	0
guava-master	java.util.ServiceConfigurationError	Error	Java	2	0	0
guava-master	java.lang.AssertionError	Error	Java	2	0	0
guava-master	junit.framework.AssertionFailedError	Error	Library	4	0	0
guava-master	java.lang.NoClassDefFoundError	Error	Java	2	0	0
guava-master	java.lang.Exception	Checked	Java	56	0	4
guava-master	java.lang.CloneNotSupportedException	Checked	Java	8	0	4
guava-master	java.net.URISyntaxException	Checked	Java	2	0	0
guava-master	com.google.common.collect.testing.features.ConflictingRequirementsException	Checked	System	2	0	0
guava-master	java.io.IOException	Checked	Java	91	0	4
guava-master	java.nio.file.FileAlreadyExistsException	Checked	Java	1	0	1
guava-master	java.nio.file.NoSuchFileException	Checked	Java	1	0	0
guava-master	java.io.EOFException	Checked	Java	2	0	0
guava-master	com.google.common.io.BaseEncoding.DecodingException	Checked	System	2	0	0
guava-master	java.net.UnknownHostException	Checked	Java	2	0	0
guava-master	java.net.MalformedURLException	Checked	Java	2	0	0
guava-master	java.lang.InterruptedException	Checked	Java	58	0	4
guava-master	com.google.common.testing.ClassSanityTester.FactoryMethodReturnsNullException	Checked	System	6	0	4
guava-master	com.google.common.testing.ClassSanityTester.ParameterHasNoDistinctValueException	Checked	System	2	0	0
guava-master	com.google.common.testing.ClassSanityTester.ParameterNotInstantiableException	Checked	System	4	0	0
guava-master	java.lang.NoSuchFieldException	Checked	Java	4	0	0
guava-master	java.lang.ClassNotFoundException	Checked	Java	16	0	0
guava-master	java.lang.reflect.InvocationTargetException	Checked	Java	34	0	0
guava-master	java.lang.IllegalAccessException	Checked	Java	30	0	0
guava-master	java.lang.InstantiationException	Checked	Java	6	0	0
guava-master	java.lang.NoSuchMethodException	Checked	Java	18	0	0
guava-master	java.security.InvalidKeyException	Checked	Java	2	0	0
guava-master	java.security.NoSuchAlgorithmException	Checked	Java	6	0	0
guava-master	java.util.concurrent.TimeoutException	Checked	Java	21	0	4
guava-master	java.util.concurrent.ExecutionException	Checked	Java	53	0	0
guava-master	java.security.PrivilegedActionException	Checked	Java	8	0	0
guava-master	java.lang.RuntimeException	Unchecked	Java	56	0	6
guava-master	com.google.common.util.concurrent.UncheckedExecutionException	Unchecked	System	2	0	0
guava-master	java.io.UncheckedIOException	Unchecked	Java	1	0	0
guava-master	java.util.concurrent.RejectedExecutionException	Unchecked	Java	4	0	0
guava-master	java.lang.reflect.UndeclaredThrowableException	Unchecked	Java	2	0	0
guava-master	com.google.common.collect.testing.testers.MapMergeTester.ExpectedException	Unchecked	System	1	0	1
guava-master	com.google.common.collect.testing.testers.MapComputeTester.ExpectedException	Unchecked	System	2	0	2
guava-master	com.google.common.collect.testing.testers.MapComputeIfPresentTester.ExpectedException	Unchecked	System	1	0	1
guava-master	com.google.common.collect.testing.testers.MapComputeIfAbsentTester.ExpectedException	Unchecked	System	1	0	1
guava-master	java.lang.IndexOutOfBoundsException	Unchecked	Java	34	0	34
guava-master	java.lang.ArrayStoreException	Unchecked	Java	2	0	2
guava-master	java.util.ConcurrentModificationException	Unchecked	Java	43	0	43
guava-master	java.nio.file.DirectoryIteratorException	Unchecked	Java	3	0	0
guava-master	java.lang.UnsupportedOperationException	Unchecked	Java	414	0	273
guava-master	com.google.common.cache.CacheLoader.UnsupportedLoadingOperationException	Unchecked	System	4	0	0
guava-master	com.google.common.collect.testing.AbstractIteratorTester.UnknownElementException	Unchecked	System	2	0	0
guava-master	com.google.common.collect.testing.AbstractIteratorTester.PermittedMetaException	Unchecked	System	2	0	0
guava-master	java.util.NoSuchElementException	Unchecked	Java	35	0	18
guava-master	java.lang.ClassCastException	Unchecked	Java	93	0	30
guava-master	java.lang.NullPointerException	Unchecked	Java	216	0	174
guava-master	java.lang.IllegalArgumentException	Unchecked	Java	69	0	42
guava-master	java.lang.NumberFormatException	Unchecked	Java	22	0	4
guava-master	java.lang.ArithmeticException	Unchecked	Java	16	0	0
guava-master	java.lang.IllegalStateException	Unchecked	Java	10	0	4
guava-master	java.util.concurrent.CancellationException	Unchecked	Java	20	0	0
guava-master	java.lang.SecurityException	Unchecked	Java	16	0	8
guava-master	java.security.AccessControlException	Unchecked	Java	2	0	2



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.lang.Throwable	Checked	Java	false	true
2	java.lang.RuntimeException	Unchecked	Java	false	false
3	java.lang.RuntimeException	Unchecked	Java	false	false
4	java.lang.RuntimeException	Unchecked	Java	false	false
5	java.lang.Exception	Checked	Java	false	false
6	java.lang.SecurityException	Unchecked	Java	false	true
7	java.security.PrivilegedActionException	Checked	Java	false	false
8	java.lang.RuntimeException	Unchecked	Java	false	false
9	java.lang.Exception	Checked	Java	false	false
10	java.util.concurrent.ExecutionException	Checked	Java	false	false
11	java.util.concurrent.CancellationException	Unchecked	Java	false	false
12	java.util.concurrent.TimeoutException	Checked	Java	false	false
13	java.util.concurrent.TimeoutException	Checked	Java	false	false
14	java.lang.ArithmeticException	Unchecked	Java	false	false
15	java.lang.ArithmeticException	Unchecked	Java	false	false
16	java.lang.ArithmeticException	Unchecked	Java	false	false
17	java.lang.ArithmeticException	Unchecked	Java	false	false
18	java.lang.NumberFormatException	Unchecked	Java	false	false
19	java.security.NoSuchAlgorithmException	Checked	Java	false	false
20	java.lang.NullPointerException	Unchecked	Java	false	false
21	java.lang.ClassCastException	Unchecked	Java	false	false
22	java.lang.NullPointerException	Unchecked	Java	false	false
23	java.lang.ClassCastException	Unchecked	Java	false	false
24	java.lang.NullPointerException	Unchecked	Java	false	false
25	java.lang.ClassCastException	Unchecked	Java	false	false
26	java.lang.IllegalArgumentException	Unchecked	Java	false	false
26	java.util.NoSuchElementException	Unchecked	Java	false	false
27	java.lang.Exception	Checked	Java	false	false
28	java.lang.Exception	Checked	Java	false	false
29	java.lang.Exception	Checked	Java	false	false
30	java.lang.Throwable	Checked	Java	false	false
31	java.util.concurrent.TimeoutException	Checked	Java	false	true
32	java.util.concurrent.CancellationException	Unchecked	Java	false	false
33	java.lang.Exception	Checked	Java	false	true
34	java.util.concurrent.CancellationException	Unchecked	Java	false	false
35	java.lang.Exception	Checked	Java	false	true
36	java.util.concurrent.ExecutionException	Checked	Java	false	false
37	java.util.concurrent.ExecutionException	Checked	Java	false	false
38	java.lang.Throwable	Checked	Java	false	false
39	java.lang.Throwable	Checked	Java	false	false
40	java.lang.Throwable	Checked	Java	false	false
41	java.lang.NoClassDefFoundError	Error	Java	false	false
42	java.lang.NoSuchMethodException	Checked	Java	false	false
43	java.lang.NoSuchMethodException	Checked	Java	false	false
44	java.lang.NoSuchMethodException	Checked	Java	false	false
45	java.lang.InstantiationException	Checked	Java	false	false
46	java.lang.IllegalAccessException	Checked	Java	false	false
47	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
48	java.lang.IllegalAccessException	Checked	Java	false	false
49	java.lang.Exception	Checked	Java	false	false
50	java.lang.Exception	Checked	Java	false	false
51	com.google.common.testing.ClassSanityTester.ParameterNotInstantiableException	Checked	System	false	false
52	com.google.common.testing.ClassSanityTester.ParameterHasNoDistinctValueException	Checked	System	false	false
53	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
54	com.google.common.testing.ClassSanityTester.FactoryMethodReturnsNullException	Checked	System	false	false
55	com.google.common.testing.ClassSanityTester.ParameterNotInstantiableException	Checked	System	false	false
56	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
57	java.lang.AssertionError	Error	Java	false	false
58	com.google.common.testing.ClassSanityTester.FactoryMethodReturnsNullException	Checked	System	false	true
59	java.lang.RuntimeException	Unchecked	Java	false	false
60	com.google.common.testing.ClassSanityTester.FactoryMethodReturnsNullException	Checked	System	false	true
61	java.lang.RuntimeException	Unchecked	Java	false	false
62	junit.framework.AssertionFailedError	Error	Library	false	false
63	java.lang.Exception	Checked	Java	false	false
64	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
65	java.lang.IllegalAccessException	Checked	Java	false	false
66	java.lang.IllegalAccessException	Checked	Java	false	false
67	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
68	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
69	java.lang.Exception	Checked	Java	false	false
70	java.lang.NoSuchMethodException	Checked	Java	false	false
71	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
72	java.lang.IllegalAccessException	Checked	Java	false	false
73	java.lang.IllegalArgumentException	Unchecked	Java	false	false
74	java.util.concurrent.CancellationException	Unchecked	Java	false	false
75	java.util.concurrent.ExecutionException	Checked	Java	false	false
76	java.lang.InterruptedException	Checked	Java	false	false
77	java.util.concurrent.TimeoutException	Checked	Java	false	true
78	java.lang.InterruptedException	Checked	Java	false	false
79	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
