EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.lang.InterruptedException
		java.io.IOException
		java.lang.CloneNotSupportedException
		com.iluwatar.layers.CakeBakingException
		java.util.concurrent.ExecutionException
		java.lang.ReflectiveOperationException
			java.lang.ClassNotFoundException
		javax.sound.sampled.LineUnavailableException
		java.lang.RuntimeException
			java.lang.IllegalArgumentException
		com.iluwatar.event.asynchronous.MaxNumOfEventsAllowedException
		com.iluwatar.event.asynchronous.LongRunningEventException
		com.iluwatar.event.asynchronous.EventDoesNotExistException
		com.iluwatar.event.asynchronous.InvalidOperationException
		java.sql.SQLException
		java.text.ParseException


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
java-design-patterns-master	java.lang.Throwable	3	0	0
java-design-patterns-master	java.lang.Exception	29	4	0
java-design-patterns-master	java.lang.InterruptedException	27	11	1
java-design-patterns-master	java.io.IOException	15	3	0
java-design-patterns-master	java.lang.CloneNotSupportedException	3	0	0
java-design-patterns-master	com.iluwatar.layers.CakeBakingException	2	2	0
java-design-patterns-master	java.util.concurrent.ExecutionException	1	0	0
java-design-patterns-master	java.lang.ReflectiveOperationException	0	0	0
java-design-patterns-master	java.lang.ClassNotFoundException	1	0	0
java-design-patterns-master	javax.sound.sampled.LineUnavailableException	1	0	0
java-design-patterns-master	java.lang.RuntimeException	0	0	0
java-design-patterns-master	java.lang.IllegalArgumentException	1	0	0
java-design-patterns-master	com.iluwatar.event.asynchronous.MaxNumOfEventsAllowedException	3	0	0
java-design-patterns-master	com.iluwatar.event.asynchronous.LongRunningEventException	3	0	0
java-design-patterns-master	com.iluwatar.event.asynchronous.EventDoesNotExistException	5	0	0
java-design-patterns-master	com.iluwatar.event.asynchronous.InvalidOperationException	2	0	0
java-design-patterns-master	java.sql.SQLException	1	0	0
java-design-patterns-master	java.text.ParseException	5	5	0


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
java-design-patterns-master	1	java.lang.InterruptedException	Checked	Java	false	false
java-design-patterns-master	2	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	3	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	4	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	5	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	6	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	7	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	8	java.lang.Throwable	Checked	Java	false	false
java-design-patterns-master	9	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	10	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	11	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	12	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	13	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	14	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	15	java.lang.InterruptedException	Checked	Java	false	false
java-design-patterns-master	16	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	17	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	18	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	19	java.io.IOException	Checked	Java	true	false
java-design-patterns-master	20	java.io.IOException	Checked	Java	false	false
java-design-patterns-master	21	java.io.IOException	Checked	Java	false	false
java-design-patterns-master	22	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	23	java.lang.InterruptedException	Checked	Java	true	false
java-design-patterns-master	24	java.io.IOException	Checked	Java	false	false
java-design-patterns-master	25	java.io.IOException	Checked	Java	false	false
java-design-patterns-master	26	java.lang.InterruptedException	Checked	Java	false	false
java-design-patterns-master	27	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	28	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	29	java.lang.Exception	Checked	Java	false	false
java-design-patterns-master	30	java.lang.InterruptedException	Checked	Java	false	false
