PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
leakcanary-master	java.lang.Throwable	Checked	Java	2	0	0
leakcanary-master	java.lang.Exception	Checked	Java	2	0	0
leakcanary-master	android.content.pm.PackageManager.NameNotFoundException	Checked	Library	2	0	0
leakcanary-master	java.io.IOException	Checked	Java	4	0	2
leakcanary-master	java.lang.reflect.InvocationTargetException	Checked	Java	1	0	0
leakcanary-master	java.lang.IllegalAccessException	Checked	Java	1	0	0
leakcanary-master	java.lang.NoSuchMethodException	Checked	Java	1	0	0
leakcanary-master	java.lang.ClassNotFoundException	Checked	Java	3	0	1
leakcanary-master	java.lang.InterruptedException	Checked	Java	2	0	0



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.lang.InterruptedException	Checked	Java	false	false
2	java.lang.ClassNotFoundException	Checked	Java	false	false
3	java.lang.Exception	Checked	Java	false	false
4	java.io.IOException	Checked	Java	false	false
5	java.io.IOException	Checked	Java	false	true
6	android.content.pm.PackageManager.NameNotFoundException	Checked	Library	false	false
7	java.io.IOException	Checked	Java	false	false
7	java.lang.ClassNotFoundException	Checked	Java	false	false
8	java.io.IOException	Checked	Java	false	true
9	java.lang.InterruptedException	Checked	Java	false	false
10	java.lang.Exception	Checked	Java	false	false
11	android.content.pm.PackageManager.NameNotFoundException	Checked	Library	false	false
12	java.lang.NoSuchMethodException	Checked	Java	false	false
13	java.lang.IllegalAccessException	Checked	Java	false	false
14	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
15	java.lang.Throwable	Checked	Java	false	false
16	java.lang.Throwable	Checked	Java	false	false
17	java.lang.ClassNotFoundException	Checked	Java	false	true
