PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
libgdx-master	java.lang.Throwable	Checked	Java	83	0	9
libgdx-master	java.lang.Exception	Checked	Java	170	2	34
libgdx-master	java.awt.AWTException	Checked	Java	1	0	1
libgdx-master	org.lwjgl.LWJGLException	Checked	Library	8	0	0
libgdx-master	javazoom.jl.decoder.BitstreamException	Checked	Library	4	0	2
libgdx-master	com.google.gwt.core.ext.typeinfo.NotFoundException	Checked	Library	1	0	0
libgdx-master	com.google.gwt.core.ext.BadPropertyValueException	Checked	Library	6	1	2
libgdx-master	java.net.URISyntaxException	Checked	Java	3	1	0
libgdx-master	javax.xml.transform.TransformerException	Checked	Java	1	0	0
libgdx-master	javax.xml.transform.TransformerConfigurationException	Checked	Java	1	0	0
libgdx-master	org.xml.sax.SAXException	Checked	Library	1	0	0
libgdx-master	javax.xml.parsers.ParserConfigurationException	Checked	Java	1	0	0
libgdx-master	java.awt.FontFormatException	Checked	Java	1	0	0
libgdx-master	java.security.NoSuchAlgorithmException	Checked	Java	2	0	1
libgdx-master	java.util.concurrent.ExecutionException	Checked	Java	1	0	0
libgdx-master	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	10	0	0
libgdx-master	java.lang.reflect.InvocationTargetException	Checked	Java	3	0	0
libgdx-master	java.lang.NoSuchFieldException	Checked	Java	4	0	0
libgdx-master	java.lang.NoSuchMethodException	Checked	Java	9	0	0
libgdx-master	java.lang.ClassNotFoundException	Checked	Java	2	0	0
libgdx-master	java.lang.IllegalAccessException	Checked	Java	9	1	0
libgdx-master	java.lang.InstantiationException	Checked	Java	3	1	0
libgdx-master	java.io.IOException	Checked	Java	147	15	20
libgdx-master	java.net.MalformedURLException	Checked	Java	1	0	0
libgdx-master	java.io.UnsupportedEncodingException	Checked	Java	14	0	0
libgdx-master	java.io.FileNotFoundException	Checked	Java	8	4	2
libgdx-master	java.lang.InterruptedException	Checked	Java	27	2	14
libgdx-master	java.lang.RuntimeException	Unchecked	Java	10	0	1
libgdx-master	java.lang.IllegalStateException	Unchecked	Java	2	2	0
libgdx-master	java.awt.HeadlessException	Unchecked	Java	1	0	1
libgdx-master	java.lang.IndexOutOfBoundsException	Unchecked	Java	1	0	0
libgdx-master	java.lang.IllegalArgumentException	Unchecked	Java	10	0	0
libgdx-master	com.badlogic.gdx.tools.distancefield.DistanceFieldGenerator.CommandLineArgumentException	Unchecked	System	1	0	0
libgdx-master	java.lang.NumberFormatException	Unchecked	Java	18	1	13
libgdx-master	com.badlogic.gdx.utils.SerializationException	Unchecked	System	6	0	0
libgdx-master	java.lang.SecurityException	Unchecked	Java	13	0	1
libgdx-master	java.security.AccessControlException	Unchecked	Java	1	0	0
libgdx-master	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	11	0	1



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.lang.Throwable	Checked	Java	false	false
2	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
3	java.lang.Exception	Checked	Java	false	false
4	java.lang.InterruptedException	Checked	Java	true	false
5	java.lang.Throwable	Checked	Java	false	false
6	java.lang.Throwable	Checked	Java	false	false
7	java.lang.Throwable	Checked	Java	false	false
8	java.lang.Throwable	Checked	Java	false	false
9	java.lang.Throwable	Checked	Java	false	false
10	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
11	java.io.IOException	Checked	Java	false	false
12	java.lang.Throwable	Checked	Java	false	false
13	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
14	java.io.IOException	Checked	Java	false	false
15	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
16	java.io.IOException	Checked	Java	false	false
17	java.lang.Throwable	Checked	Java	false	false
18	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
19	java.io.IOException	Checked	Java	false	false
20	java.lang.Throwable	Checked	Java	false	false
21	java.io.IOException	Checked	Java	false	false
22	java.lang.Exception	Checked	Java	false	true
23	java.lang.Exception	Checked	Java	false	true
24	java.lang.Exception	Checked	Java	false	true
25	java.lang.Exception	Checked	Java	false	true
26	java.lang.Exception	Checked	Java	false	true
27	java.lang.Exception	Checked	Java	false	true
28	java.lang.Exception	Checked	Java	false	true
29	java.lang.Exception	Checked	Java	false	true
30	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
31	java.lang.Throwable	Checked	Java	false	false
32	java.lang.Throwable	Checked	Java	false	false
33	java.lang.Exception	Checked	Java	false	false
34	java.lang.InterruptedException	Checked	Java	false	true
35	java.lang.InterruptedException	Checked	Java	false	true
36	java.lang.InterruptedException	Checked	Java	false	true
37	java.io.IOException	Checked	Java	false	false
38	java.lang.Exception	Checked	Java	false	false
39	java.lang.Exception	Checked	Java	false	false
40	java.lang.Throwable	Checked	Java	false	false
41	java.lang.Exception	Checked	Java	false	false
42	java.lang.InstantiationException	Checked	Java	true	false
43	java.lang.IllegalAccessException	Checked	Java	true	false
44	java.io.IOException	Checked	Java	false	false
45	java.io.IOException	Checked	Java	false	false
46	java.io.IOException	Checked	Java	true	false
47	java.lang.Throwable	Checked	Java	false	false
48	java.io.IOException	Checked	Java	false	false
49	java.lang.Exception	Checked	Java	false	false
50	java.lang.Exception	Checked	Java	false	false
51	java.lang.Exception	Checked	Java	false	false
52	java.lang.Throwable	Checked	Java	false	false
53	java.io.IOException	Checked	Java	false	false
54	java.lang.Exception	Checked	Java	false	false
55	java.security.AccessControlException	Unchecked	Java	false	false
56	java.lang.Exception	Checked	Java	false	false
57	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
58	com.badlogic.gdx.utils.SerializationException	Unchecked	System	false	false
59	java.lang.Exception	Checked	Java	false	false
60	java.lang.Exception	Checked	Java	false	false
61	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
62	com.badlogic.gdx.utils.SerializationException	Unchecked	System	false	false
63	java.lang.RuntimeException	Unchecked	Java	false	false
64	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
65	com.badlogic.gdx.utils.SerializationException	Unchecked	System	false	false
66	java.lang.Exception	Checked	Java	false	false
67	java.io.IOException	Checked	Java	false	false
68	java.io.IOException	Checked	Java	false	false
69	java.io.IOException	Checked	Java	false	false
70	java.io.IOException	Checked	Java	false	false
71	java.io.IOException	Checked	Java	false	false
72	java.io.IOException	Checked	Java	false	false
73	java.io.IOException	Checked	Java	false	false
74	java.io.IOException	Checked	Java	false	false
75	java.io.IOException	Checked	Java	false	false
76	java.io.IOException	Checked	Java	false	false
77	java.io.IOException	Checked	Java	false	false
78	java.io.IOException	Checked	Java	false	false
79	java.io.IOException	Checked	Java	false	false
80	java.lang.Exception	Checked	Java	false	false
81	java.lang.Exception	Checked	Java	false	false
82	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
83	com.badlogic.gdx.utils.SerializationException	Unchecked	System	false	false
84	java.lang.RuntimeException	Unchecked	Java	false	false
85	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
86	com.badlogic.gdx.utils.SerializationException	Unchecked	System	false	false
87	java.lang.RuntimeException	Unchecked	Java	false	false
88	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
89	java.lang.NumberFormatException	Unchecked	Java	false	true
90	java.lang.NumberFormatException	Unchecked	Java	false	true
91	java.lang.NumberFormatException	Unchecked	Java	false	true
92	java.lang.Exception	Checked	Java	false	false
93	java.lang.SecurityException	Unchecked	Java	false	true
94	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
95	java.lang.Exception	Checked	Java	false	false
96	java.io.IOException	Checked	Java	false	false
97	java.io.IOException	Checked	Java	false	false
98	java.lang.Exception	Checked	Java	false	false
99	java.lang.RuntimeException	Unchecked	Java	false	false
100	java.lang.NumberFormatException	Unchecked	Java	false	true
101	java.lang.NumberFormatException	Unchecked	Java	false	true
102	java.lang.NumberFormatException	Unchecked	Java	false	true
103	java.lang.NumberFormatException	Unchecked	Java	false	true
104	java.lang.InterruptedException	Checked	Java	true	false
105	java.lang.Exception	Checked	Java	false	false
106	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
107	java.lang.Exception	Checked	Java	false	false
108	java.lang.Exception	Checked	Java	false	true
109	java.lang.Throwable	Checked	Java	false	false
110	java.io.IOException	Checked	Java	false	false
111	java.lang.RuntimeException	Unchecked	Java	false	false
112	java.io.IOException	Checked	Java	false	true
113	java.lang.Throwable	Checked	Java	false	false
114	java.lang.Exception	Checked	Java	false	true
115	java.io.FileNotFoundException	Checked	Java	false	true
116	java.io.IOException	Checked	Java	false	false
117	java.lang.Throwable	Checked	Java	false	true
118	java.lang.Throwable	Checked	Java	false	false
119	java.lang.Throwable	Checked	Java	false	true
120	java.lang.Throwable	Checked	Java	false	false
121	java.lang.InterruptedException	Checked	Java	false	true
122	java.io.IOException	Checked	Java	false	false
123	java.lang.Exception	Checked	Java	false	false
124	java.io.IOException	Checked	Java	false	false
125	java.io.IOException	Checked	Java	false	false
126	java.lang.Exception	Checked	Java	false	false
127	java.lang.ClassNotFoundException	Checked	Java	false	false
128	java.lang.InstantiationException	Checked	Java	false	false
129	java.lang.IllegalAccessException	Checked	Java	false	false
130	java.lang.SecurityException	Unchecked	Java	false	false
131	java.lang.NoSuchMethodException	Checked	Java	false	false
132	java.lang.SecurityException	Unchecked	Java	false	false
133	java.lang.NoSuchMethodException	Checked	Java	false	false
134	java.lang.SecurityException	Unchecked	Java	false	false
135	java.lang.NoSuchMethodException	Checked	Java	false	false
136	java.lang.SecurityException	Unchecked	Java	false	false
137	java.lang.NoSuchMethodException	Checked	Java	false	false
138	java.lang.SecurityException	Unchecked	Java	false	false
139	java.lang.NoSuchFieldException	Checked	Java	false	false
140	java.lang.SecurityException	Unchecked	Java	false	false
141	java.lang.NoSuchFieldException	Checked	Java	false	false
142	java.lang.IllegalArgumentException	Unchecked	Java	false	false
143	java.lang.InstantiationException	Checked	Java	false	false
144	java.lang.IllegalAccessException	Checked	Java	false	false
145	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
146	java.lang.IllegalArgumentException	Unchecked	Java	false	false
147	java.lang.IllegalAccessException	Checked	Java	false	false
148	java.lang.IllegalArgumentException	Unchecked	Java	false	false
149	java.lang.IllegalAccessException	Checked	Java	false	false
150	java.lang.IllegalArgumentException	Unchecked	Java	false	false
151	java.lang.IllegalAccessException	Checked	Java	false	false
152	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
153	java.lang.InterruptedException	Checked	Java	false	false
154	java.lang.InterruptedException	Checked	Java	false	false
155	java.util.concurrent.ExecutionException	Checked	Java	false	false
156	com.badlogic.gdx.utils.SerializationException	Unchecked	System	false	false
157	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
158	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	false
159	com.badlogic.gdx.utils.GdxRuntimeException	Unchecked	System	false	true
160	java.lang.Exception	Checked	Java	false	false
161	java.lang.Exception	Checked	Java	false	true
162	com.badlogic.gdx.utils.reflect.ReflectionException	Checked	System	false	false
163	java.lang.Exception	Checked	Java	false	false
164	java.lang.RuntimeException	Unchecked	Java	false	false
165	java.io.UnsupportedEncodingException	Checked	Java	false	false
166	java.io.IOException	Checked	Java	false	false
167	java.io.IOException	Checked	Java	false	false
168	java.io.IOException	Checked	Java	false	false
169	java.io.IOException	Checked	Java	false	false
170	java.lang.Exception	Checked	Java	false	false
171	java.lang.Exception	Checked	Java	false	false
172	java.lang.Exception	Checked	Java	false	false
173	java.lang.Exception	Checked	Java	false	false
174	java.lang.Exception	Checked	Java	false	false
175	java.lang.Exception	Checked	Java	false	false
176	java.lang.Exception	Checked	Java	false	false
177	java.lang.Exception	Checked	Java	false	false
178	java.lang.Exception	Checked	Java	false	false
179	java.lang.Exception	Checked	Java	false	false
180	java.lang.NumberFormatException	Unchecked	Java	false	true
181	java.lang.NumberFormatException	Unchecked	Java	false	true
182	java.lang.NumberFormatException	Unchecked	Java	false	true
183	java.io.IOException	Checked	Java	false	false
184	java.io.IOException	Checked	Java	false	false
185	java.lang.Exception	Checked	Java	false	false
186	java.io.IOException	Checked	Java	false	false
187	java.io.IOException	Checked	Java	false	false
188	java.io.IOException	Checked	Java	false	false
189	java.lang.Exception	Checked	Java	false	false
190	java.io.IOException	Checked	Java	false	false
191	java.io.IOException	Checked	Java	false	false
192	java.lang.Exception	Checked	Java	false	false
193	java.io.IOException	Checked	Java	false	false
194	java.io.IOException	Checked	Java	false	false
195	java.lang.Exception	Checked	Java	false	false
196	java.io.IOException	Checked	Java	true	false
197	java.lang.Exception	Checked	Java	false	false
198	java.lang.Throwable	Checked	Java	false	false
199	java.lang.Throwable	Checked	Java	false	false
200	java.lang.Throwable	Checked	Java	false	false
201	java.lang.Throwable	Checked	Java	false	false
202	java.lang.Throwable	Checked	Java	false	false
203	java.lang.Throwable	Checked	Java	false	false
204	java.lang.Throwable	Checked	Java	false	false
205	java.io.IOException	Checked	Java	false	false
206	java.lang.Exception	Checked	Java	false	false
207	java.io.IOException	Checked	Java	false	false
208	java.lang.Exception	Checked	Java	false	false
