EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.io.IOException
			java.io.FileNotFoundException
			java.io.InterruptedIOException
				java.net.SocketTimeoutException
			java.net.UnknownHostException
			java.io.EOFException
			javax.net.ssl.SSLException
				javax.net.ssl.SSLPeerUnverifiedException
			java.net.MalformedURLException
			java.net.ProtocolException
			java.net.SocketException
				java.net.ConnectException
		java.security.GeneralSecurityException
			java.security.cert.CertificateException
				java.security.cert.CertificateEncodingException
				java.security.cert.CertificateParsingException
		java.lang.InterruptedException
		java.lang.RuntimeException
			java.lang.IllegalArgumentException
				java.lang.NumberFormatException
			java.lang.SecurityException
			okhttp3.internal.connection.RouteException
			java.lang.NullPointerException
		java.net.URISyntaxException
		java.lang.ReflectiveOperationException
			java.lang.ClassNotFoundException
			java.lang.NoSuchMethodException
			java.lang.IllegalAccessException
			java.lang.reflect.InvocationTargetException
			java.lang.NoSuchFieldException
		java.lang.CloneNotSupportedException
	java.lang.Error
		java.lang.AssertionError


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
okhttp-master	java.lang.Throwable	2	0	1
okhttp-master	java.lang.Exception	19	1	6
okhttp-master	java.io.IOException	76	2	20
okhttp-master	java.io.FileNotFoundException	6	0	0
okhttp-master	java.io.InterruptedIOException	3	0	0
okhttp-master	java.net.SocketTimeoutException	1	0	1
okhttp-master	java.net.UnknownHostException	3	0	0
okhttp-master	java.io.EOFException	3	0	0
okhttp-master	javax.net.ssl.SSLException	1	0	0
okhttp-master	javax.net.ssl.SSLPeerUnverifiedException	4	0	0
okhttp-master	java.net.MalformedURLException	1	0	0
okhttp-master	java.net.ProtocolException	1	0	0
okhttp-master	java.net.SocketException	1	0	0
okhttp-master	java.net.ConnectException	1	0	0
okhttp-master	java.security.GeneralSecurityException	6	0	0
okhttp-master	java.security.cert.CertificateException	1	0	0
okhttp-master	java.security.cert.CertificateEncodingException	1	0	0
okhttp-master	java.security.cert.CertificateParsingException	1	0	0
okhttp-master	java.lang.InterruptedException	18	1	4
okhttp-master	java.lang.RuntimeException	4	0	0
okhttp-master	java.lang.IllegalArgumentException	5	0	2
okhttp-master	java.lang.NumberFormatException	11	0	1
okhttp-master	java.lang.SecurityException	1	0	0
okhttp-master	okhttp3.internal.connection.RouteException	1	0	0
okhttp-master	java.lang.NullPointerException	1	0	0
okhttp-master	java.net.URISyntaxException	1	0	0
okhttp-master	java.lang.ReflectiveOperationException	0	0	0
okhttp-master	java.lang.ClassNotFoundException	7	0	3
okhttp-master	java.lang.NoSuchMethodException	7	0	3
okhttp-master	java.lang.IllegalAccessException	12	0	1
okhttp-master	java.lang.reflect.InvocationTargetException	11	0	1
okhttp-master	java.lang.NoSuchFieldException	1	0	1
okhttp-master	java.lang.CloneNotSupportedException	1	0	0
okhttp-master	java.lang.Error	1	0	0
okhttp-master	java.lang.AssertionError	3	0	0


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
okhttp-master	1	java.io.FileNotFoundException	Checked	Java	false	false
okhttp-master	2	java.io.IOException	Checked	Java	false	false
okhttp-master	3	java.io.IOException	Checked	Java	false	false
okhttp-master	4	java.io.IOException	Checked	Java	false	true
okhttp-master	5	java.io.IOException	Checked	Java	false	false
okhttp-master	6	java.security.GeneralSecurityException	Checked	Java	false	false
okhttp-master	7	java.io.IOException	Checked	Java	false	false
okhttp-master	8	java.io.IOException	Checked	Java	false	false
okhttp-master	9	java.io.IOException	Checked	Java	false	false
okhttp-master	10	java.io.IOException	Checked	Java	true	false
okhttp-master	10	java.lang.InterruptedException	Checked	Java	true	false
okhttp-master	11	java.lang.Exception	Checked	Java	true	false
okhttp-master	12	java.io.IOException	Checked	Java	false	false
okhttp-master	13	java.io.IOException	Checked	Java	false	false
okhttp-master	14	java.io.IOException	Checked	Java	false	false
okhttp-master	15	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	16	java.io.IOException	Checked	Java	false	false
okhttp-master	17	java.io.IOException	Checked	Java	false	false
okhttp-master	18	java.io.IOException	Checked	Java	false	false
okhttp-master	19	java.io.IOException	Checked	Java	false	false
okhttp-master	20	java.io.IOException	Checked	Java	false	false
okhttp-master	21	java.io.IOException	Checked	Java	false	false
okhttp-master	22	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	23	java.lang.Error	Error	Java	false	false
okhttp-master	23	java.lang.RuntimeException	Unchecked	Java	false	false
okhttp-master	24	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	25	java.io.InterruptedIOException	Checked	Java	false	false
okhttp-master	26	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	27	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	28	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	29	java.net.UnknownHostException	Checked	Java	false	false
okhttp-master	30	java.lang.Exception	Checked	Java	false	false
okhttp-master	31	java.io.EOFException	Checked	Java	false	false
okhttp-master	32	java.lang.Throwable	Checked	Java	false	true
okhttp-master	33	javax.net.ssl.SSLPeerUnverifiedException	Checked	Java	false	false
okhttp-master	34	javax.net.ssl.SSLPeerUnverifiedException	Checked	Java	false	false
okhttp-master	35	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	36	java.io.IOException	Checked	Java	false	false
okhttp-master	37	java.io.IOException	Checked	Java	false	false
okhttp-master	38	java.io.IOException	Checked	Java	false	true
okhttp-master	39	java.io.IOException	Checked	Java	false	false
okhttp-master	40	java.io.IOException	Checked	Java	false	false
okhttp-master	41	java.io.IOException	Checked	Java	false	true
okhttp-master	42	java.io.IOException	Checked	Java	false	true
okhttp-master	43	java.io.IOException	Checked	Java	false	true
okhttp-master	44	java.security.cert.CertificateException	Checked	Java	false	false
okhttp-master	45	java.security.cert.CertificateEncodingException	Checked	Java	false	false
okhttp-master	46	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	47	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	48	java.lang.InterruptedException	Checked	Java	false	true
