PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
picasso-master	java.lang.OutOfMemoryError	Error	Java	1	0	0
picasso-master	java.lang.Exception	Checked	Java	2	0	0
picasso-master	android.content.pm.PackageManager.NameNotFoundException	Checked	Library	1	0	0
picasso-master	java.lang.InterruptedException	Checked	Java	1	0	0
picasso-master	java.lang.RuntimeException	Unchecked	Java	2	0	0
picasso-master	java.lang.SecurityException	Unchecked	Java	1	0	0
picasso-master	java.lang.NullPointerException	Unchecked	Java	1	0	0
picasso-master	java.lang.IllegalArgumentException	Unchecked	Java	1	0	1
picasso-master	java.lang.NumberFormatException	Unchecked	Java	1	0	0
picasso-master	java.io.IOException	Checked	Java	5	0	2
picasso-master	com.squareup.picasso.NetworkRequestHandler.ResponseException	Checked	System	1	0	0



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.io.IOException	Checked	Java	false	false
2	com.squareup.picasso.NetworkRequestHandler.ResponseException	Checked	System	false	false
3	java.io.IOException	Checked	Java	false	false
4	java.lang.OutOfMemoryError	Error	Java	false	false
5	java.lang.Exception	Checked	Java	false	false
6	java.io.IOException	Checked	Java	false	true
7	java.lang.RuntimeException	Unchecked	Java	false	false
8	java.io.IOException	Checked	Java	false	false
9	java.lang.RuntimeException	Unchecked	Java	false	false
10	java.io.IOException	Checked	Java	false	true
11	java.lang.InterruptedException	Checked	Java	false	false
12	java.lang.Exception	Checked	Java	false	false
13	java.lang.IllegalArgumentException	Unchecked	Java	false	true
14	java.lang.NullPointerException	Unchecked	Java	false	false
15	java.lang.SecurityException	Unchecked	Java	false	false
16	java.lang.NumberFormatException	Unchecked	Java	false	false
17	android.content.pm.PackageManager.NameNotFoundException	Checked	Library	false	false
