PROJECT	EXCEPTIONS	HANDLERS	AUTOCOMPLETE	EMPTY
android-async-http-master	18	50	1	1
Android-Universal-Image-Loader-master	15	43	0	5
AndroidUtilCode-master	15	85	31	1
butterknife-master	13	29	0	1
elasticsearch-master	120	1616	0	78
EventBus-master	10	36	0	7
fastjson-master	24	151	1	40
fresco-master	17	138	3	15
glide-master	23	95	2	23
guava-master	60	1694	0	676
Hystrix-master	22	116	1	16
interviews-master	0	0	0	0
iosched-master	37	159	4	22
java-design-patterns-master	16	94	25	1
leakcanary-master	9	17	0	3
libgdx-master	38	595	30	102
lottie-android-master	5	9	0	3
Material-Animations-master	0	0	0	0
material-dialogs-master	5	9	0	3
MPAndroidChart-master	4	12	1	2
netty-4.1	64	1085	2	94
okhttp-master	34	203	4	44
PhotoView-master	2	3	0	0
picasso-master	11	17	0	3
retrofit-master	14	50	0	2
RxAndroid-2.x	1	2	0	0
SlidingMenu-master	1	1	0	0
