EXCEPTION HIERARCHY
java.lang.Throwable
	java.lang.Exception
		java.lang.InterruptedException
		java.io.IOException
			com.google.protobuf.InvalidProtocolBufferException
		java.lang.RuntimeException
			rx.exceptions.OnCompletedFailedException
			rx.exceptions.OnErrorFailedException
			rx.exceptions.OnErrorNotImplementedException
		java.lang.ReflectiveOperationException
			java.lang.reflect.InvocationTargetException
			java.lang.NoSuchMethodException
			java.lang.IllegalAccessException
			java.lang.NoSuchFieldException
			java.lang.ClassNotFoundException


PROJECT	EXCEPTION	HANDLERS	AUTOCOMPLETE	EMPTY
retrofit-master	java.lang.Throwable	20	0	0
retrofit-master	java.lang.Exception	4	0	0
retrofit-master	java.lang.InterruptedException	2	0	0
retrofit-master	java.io.IOException	7	0	0
retrofit-master	com.google.protobuf.InvalidProtocolBufferException	1	0	0
retrofit-master	java.lang.RuntimeException	7	0	0
retrofit-master	rx.exceptions.OnCompletedFailedException	6	0	0
retrofit-master	rx.exceptions.OnErrorFailedException	6	0	0
retrofit-master	rx.exceptions.OnErrorNotImplementedException	6	0	0
retrofit-master	java.lang.ReflectiveOperationException	0	0	0
retrofit-master	java.lang.reflect.InvocationTargetException	1	0	0
retrofit-master	java.lang.NoSuchMethodException	1	0	0
retrofit-master	java.lang.IllegalAccessException	2	0	0
retrofit-master	java.lang.NoSuchFieldException	1	0	0
retrofit-master	java.lang.ClassNotFoundException	2	0	2


PROJECT	HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
retrofit-master	1	java.lang.InterruptedException	Checked	Java	false	false
retrofit-master	2	java.lang.InterruptedException	Checked	Java	false	false
retrofit-master	3	java.io.IOException	Checked	Java	false	false
retrofit-master	4	java.lang.Exception	Checked	Java	false	false
retrofit-master	5	java.lang.Exception	Checked	Java	false	false
retrofit-master	6	java.lang.Exception	Checked	Java	false	false
retrofit-master	7	java.lang.RuntimeException	Unchecked	Java	false	false
retrofit-master	7	java.io.IOException	Checked	Java	false	false
retrofit-master	8	java.lang.Exception	Checked	Java	false	false
retrofit-master	9	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
retrofit-master	10	java.lang.NoSuchMethodException	Checked	Java	false	false
retrofit-master	10	java.lang.IllegalAccessException	Checked	Java	false	false
retrofit-master	11	java.lang.NoSuchFieldException	Checked	Java	false	false
retrofit-master	11	java.lang.IllegalAccessException	Checked	Java	false	false
retrofit-master	12	com.google.protobuf.InvalidProtocolBufferException	Checked	Library	false	false
retrofit-master	13	java.lang.Throwable	Checked	Java	false	false
retrofit-master	14	java.lang.Throwable	Checked	Java	false	false
retrofit-master	15	java.lang.Throwable	Checked	Java	false	false
retrofit-master	16	java.lang.Throwable	Checked	Java	false	false
retrofit-master	17	java.lang.Throwable	Checked	Java	false	false
retrofit-master	18	java.lang.Throwable	Checked	Java	false	false
retrofit-master	19	java.lang.Throwable	Checked	Java	false	false
retrofit-master	20	java.lang.Throwable	Checked	Java	false	false
retrofit-master	21	rx.exceptions.OnCompletedFailedException	Unchecked	Library	false	false
