PROJECT	"throws" declarations should not be superfluous	Generic exceptions should never be thrown	Try-catch blocks should not be nested	Jump statements should not occur in "finally" blocks	Throwable.printStackTrace(...) should not be called	Exceptions should not be thrown in finally blocks	Exception classes should be immutable	Throwable and Error should not be caught	Exception types should not be tested using "instanceof" in catch blocks	Local Variables should not be declared and then immediately returned or thrown	Exceptions should not be thrown from servlet methods	Try-with-resources should be used	Catches should be combined	Classes named like "Exception" should extend "Exception" or a subclass	IllegalMonitorStateException should not be caught	"Iterator.next()" methods should throw "NoSuchElementException"	"catch" clauses should do more than rethrow	Exception should not be created without being thrown	
81813780 AVLoadingIndicatorView	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	
afollestad material-dialogs	0	0	0	0	3	0	0	4	0	0	0	0	0	1	0	0	0	0	
airbnb lottie-android	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
airbnb lottie-react-native	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
alibaba vlayout	1	9	2	0	36	0	0	1	0	1	0	0	18	0	0	1	0	0	
amlcurran ShowcaseView	0	3	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	
apl-devs AppIntro	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
astuetz PagerSlidingTabStrip	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bearded-Hen Android-Bootstrap	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bigkoo Android-PickerView	0	2	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	
Blankj AndroidUtilCode	0	137	0	0	67	0	0	1	0	0	0	32	0	0	0	0	0	0	
bumptech glide	3	88	0	0	1	0	3	5	0	0	0	6	2	0	0	0	0	0	
chrisbanes Android-PullToRefresh	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
chrisbanes cheesesquare	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
chrisbanes PhotoView	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
chrisjenx Calligraphy	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Curzibn Luban	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CymChad BaseRecyclerViewAdapterHelper	0	3	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	
cymcsg UltimateRecyclerView	0	5	0	0	8	0	0	0	0	15	0	0	0	0	0	0	0	0	
daimajia AndroidSwipeLayout	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
daimajia AndroidViewAnimations	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
emilsjolander StickyListHeaders	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	
facebook fresco	1	253	2	0	4	0	0	11	0	6	0	7	1	0	0	0	0	0	
facebook rebound	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	
florent37 MaterialViewPager	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
futuresimple android-floating-action-button	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
gabrielemariotti cardslib	6	7	0	0	4	0	2	1	0	16	0	0	0	0	0	0	0	0	
google flexbox-layout	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
