PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
spring-framework-master	java.lang.Throwable	Checked	Java	414	0	25
spring-framework-master	java.lang.Error	Error	Java	14	0	0
spring-framework-master	java.lang.AssertionError	Error	Java	3	0	1
spring-framework-master	java.lang.LinkageError	Error	Java	7	0	0
spring-framework-master	java.lang.ClassCircularityError	Error	Java	1	0	0
spring-framework-master	java.lang.AbstractMethodError	Error	Java	3	0	1
spring-framework-master	java.lang.NoClassDefFoundError	Error	Java	4	0	0
spring-framework-master	java.lang.Exception	Checked	Java	163	0	9
spring-framework-master	java.lang.CloneNotSupportedException	Checked	Java	1	0	0
spring-framework-master	java.util.prefs.BackingStoreException	Checked	Java	1	0	0
spring-framework-master	java.beans.IntrospectionException	Checked	Java	7	0	3
spring-framework-master	java.security.PrivilegedActionException	Checked	Java	8	0	0
spring-framework-master	java.lang.instrument.IllegalClassFormatException	Checked	Java	3	0	0
spring-framework-master	javax.management.JMException	Checked	Java	3	0	0
spring-framework-master	javax.management.ReflectionException	Checked	Java	1	0	0
spring-framework-master	javax.management.MBeanException	Checked	Java	2	0	0
spring-framework-master	javax.management.OperationsException	Checked	Java	1	0	0
spring-framework-master	javax.management.IntrospectionException	Checked	Java	1	0	0
spring-framework-master	javax.management.MalformedObjectNameException	Checked	Java	1	0	0
spring-framework-master	javax.management.InstanceNotFoundException	Checked	Java	2	0	0
spring-framework-master	javax.management.InstanceAlreadyExistsException	Checked	Java	1	0	0
spring-framework-master	java.rmi.AlreadyBoundException	Checked	Java	1	0	0
spring-framework-master	java.rmi.NotBoundException	Checked	Java	2	0	0
spring-framework-master	java.security.NoSuchAlgorithmException	Checked	Java	1	0	0
spring-framework-master	org.springframework.expression.AccessException	Checked	System	12	0	2
spring-framework-master	org.springframework.jdbc.support.MetaDataAccessException	Checked	System	3	0	0
spring-framework-master	java.sql.SQLException	Checked	Java	101	0	0
spring-framework-master	java.sql.BatchUpdateException	Checked	Java	1	0	0
spring-framework-master	java.sql.SQLFeatureNotSupportedException	Checked	Java	1	0	0
spring-framework-master	javax.resource.ResourceException	Checked	Library	12	0	0
spring-framework-master	javax.resource.spi.LocalTransactionException	Checked	Library	3	0	0
spring-framework-master	javax.resource.NotSupportedException	Checked	Library	6	0	0
spring-framework-master	javax.resource.spi.work.WorkException	Checked	Library	1	0	0
spring-framework-master	javax.resource.spi.work.WorkRejectedException	Checked	Library	1	0	0
spring-framework-master	javax.transaction.HeuristicRollbackException	Checked	Library	1	0	0
spring-framework-master	javax.transaction.HeuristicMixedException	Checked	Library	1	0	0
spring-framework-master	javax.transaction.RollbackException	Checked	Library	1	0	0
spring-framework-master	javax.transaction.NotSupportedException	Checked	Library	1	0	0
spring-framework-master	javax.transaction.SystemException	Checked	Library	12	0	0
spring-framework-master	javax.naming.NamingException	Checked	Java	25	0	0
spring-framework-master	org.springframework.jndi.TypeMismatchNamingException	Checked	System	2	0	0
spring-framework-master	javax.naming.NameNotFoundException	Checked	Java	3	0	1
spring-framework-master	java.util.concurrent.ExecutionException	Checked	Java	8	0	0
spring-framework-master	java.lang.InterruptedException	Checked	Java	17	0	1
spring-framework-master	javax.xml.parsers.ParserConfigurationException	Checked	Java	2	0	0
spring-framework-master	javax.xml.stream.XMLStreamException	Checked	Java	6	0	0
spring-framework-master	javax.xml.bind.JAXBException	Checked	Java	11	0	0
spring-framework-master	javax.xml.bind.MarshalException	Checked	Java	1	0	0
spring-framework-master	javax.xml.bind.UnmarshalException	Checked	Java	3	0	0
spring-framework-master	java.text.ParseException	Checked	Java	6	0	2
spring-framework-master	java.net.URISyntaxException	Checked	Java	21	0	2
spring-framework-master	javax.script.ScriptException	Checked	Java	3	0	0
spring-framework-master	javax.xml.transform.TransformerConfigurationException	Checked	Java	1	0	0
spring-framework-master	java.lang.InstantiationException	Checked	Java	5	0	0
spring-framework-master	java.lang.IllegalAccessException	Checked	Java	27	0	1
spring-framework-master	java.lang.NoSuchFieldException	Checked	Java	7	0	3
spring-framework-master	java.lang.reflect.InvocationTargetException	Checked	Java	74	0	0
spring-framework-master	java.lang.NoSuchMethodException	Checked	Java	55	0	11
spring-framework-master	java.lang.ClassNotFoundException	Checked	Java	73	0	14
spring-framework-master	javax.servlet.ServletException	Checked	Library	9	0	0
spring-framework-master	org.springframework.web.bind.ServletRequestBindingException	Checked	System	11	0	0
spring-framework-master	org.springframework.web.HttpRequestMethodNotSupportedException	Checked	System	1	0	0
spring-framework-master	org.springframework.web.multipart.support.MissingServletRequestPartException	Checked	System	1	0	0
spring-framework-master	org.springframework.web.HttpMediaTypeException	Checked	System	1	0	0
spring-framework-master	org.springframework.web.HttpMediaTypeNotAcceptableException	Checked	System	3	0	1
spring-framework-master	java.io.IOException	Checked	Java	204	0	40
spring-framework-master	java.util.zip.ZipException	Checked	Java	1	0	0
spring-framework-master	java.io.CharConversionException	Checked	Java	1	0	0
spring-framework-master	java.rmi.RemoteException	Checked	Java	11	0	0
spring-framework-master	java.rmi.NoSuchObjectException	Checked	Java	1	0	0
spring-framework-master	javax.transaction.InvalidTransactionException	Checked	Java	2	0	0
spring-framework-master	javax.net.ssl.SSLException	Checked	Java	1	0	0
