PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
zxing-master	org.json.JSONException	Checked	Library	4	0	0
zxing-master	java.lang.InterruptedException	Checked	Java	5	0	5
zxing-master	java.text.ParseException	Checked	Java	3	0	1
zxing-master	com.google.zxing.common.reedsolomon.ReedSolomonException	Checked	System	5	0	0
zxing-master	java.lang.reflect.InvocationTargetException	Checked	Java	2	0	0
zxing-master	java.lang.NoSuchMethodException	Checked	Java	2	0	0
zxing-master	java.lang.IllegalAccessException	Checked	Java	3	0	0
zxing-master	java.lang.InstantiationException	Checked	Java	1	0	0
zxing-master	java.lang.ClassNotFoundException	Checked	Java	4	0	0
zxing-master	org.xml.sax.SAXException	Checked	Library	1	0	0
zxing-master	javax.xml.parsers.ParserConfigurationException	Checked	Java	1	0	0
zxing-master	com.google.zxing.web.generator.client.GeneratorException	Checked	System	4	0	0
zxing-master	com.google.zxing.ReaderException	Checked	System	16	0	8
zxing-master	com.google.zxing.NotFoundException	Checked	System	22	0	9
zxing-master	com.google.zxing.ChecksumException	Checked	System	5	0	1
zxing-master	com.google.zxing.FormatException	Checked	System	12	0	0
zxing-master	java.net.URISyntaxException	Checked	Java	5	0	1
zxing-master	java.io.IOException	Checked	Java	20	0	5
zxing-master	java.io.FileNotFoundException	Checked	Java	1	0	0
zxing-master	java.io.UnsupportedEncodingException	Checked	Java	11	0	2
zxing-master	java.net.MalformedURLException	Checked	Java	1	0	0
zxing-master	com.google.zxing.WriterException	Checked	System	3	0	0
zxing-master	java.lang.RuntimeException	Unchecked	Java	7	0	0
zxing-master	java.lang.SecurityException	Unchecked	Java	1	0	0
zxing-master	android.database.SQLException	Unchecked	Library	5	0	0
zxing-master	java.util.concurrent.RejectedExecutionException	Unchecked	Java	3	0	1
zxing-master	android.content.ActivityNotFoundException	Unchecked	Library	5	0	0
zxing-master	java.awt.color.CMMException	Unchecked	Java	1	0	0
zxing-master	java.lang.IndexOutOfBoundsException	Unchecked	Java	1	0	1
zxing-master	android.database.CursorIndexOutOfBoundsException	Unchecked	Library	1	0	0
zxing-master	java.lang.StringIndexOutOfBoundsException	Unchecked	Java	1	0	0
zxing-master	java.lang.ArrayIndexOutOfBoundsException	Unchecked	Java	1	0	0
zxing-master	java.lang.IllegalStateException	Unchecked	Java	3	0	0
zxing-master	java.lang.NullPointerException	Unchecked	Java	5	0	1
zxing-master	java.lang.IllegalArgumentException	Unchecked	Java	18	0	3
zxing-master	java.lang.NumberFormatException	Unchecked	Java	4	0	0



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	java.lang.IllegalArgumentException	Unchecked	Java	false	false
1	java.lang.NullPointerException	Unchecked	Java	false	false
2	com.google.zxing.WriterException	Checked	System	false	false
3	java.io.IOException	Checked	Java	false	false
4	java.net.URISyntaxException	Checked	Java	false	false
5	java.io.IOException	Checked	Java	false	false
5	java.lang.IllegalStateException	Unchecked	Java	false	false
6	java.net.MalformedURLException	Checked	Java	false	false
7	java.lang.IllegalArgumentException	Unchecked	Java	false	false
8	java.io.IOException	Checked	Java	false	false
8	java.lang.IllegalArgumentException	Unchecked	Java	false	false
9	java.io.IOException	Checked	Java	false	false
10	java.io.IOException	Checked	Java	false	true
10	java.lang.IndexOutOfBoundsException	Unchecked	Java	false	true
11	java.lang.IllegalStateException	Unchecked	Java	false	false
12	java.io.IOException	Checked	Java	false	false
13	java.io.IOException	Checked	Java	false	false
13	java.awt.color.CMMException	Unchecked	Java	false	false
13	java.lang.IllegalArgumentException	Unchecked	Java	false	false
14	java.lang.RuntimeException	Unchecked	Java	false	false
15	com.google.zxing.ReaderException	Checked	System	false	false
16	com.google.zxing.ReaderException	Checked	System	false	false
17	com.google.zxing.ReaderException	Checked	System	false	false
18	com.google.zxing.ReaderException	Checked	System	false	false
19	com.google.zxing.FormatException	Checked	System	false	false
19	com.google.zxing.ChecksumException	Checked	System	false	false
20	com.google.zxing.ReaderException	Checked	System	false	false
21	com.google.zxing.web.generator.client.GeneratorException	Checked	System	false	false
22	com.google.zxing.web.generator.client.GeneratorException	Checked	System	false	false
23	java.lang.IllegalArgumentException	Unchecked	Java	false	false
24	com.google.zxing.web.generator.client.GeneratorException	Checked	System	false	false
25	com.google.zxing.web.generator.client.GeneratorException	Checked	System	false	false
26	javax.xml.parsers.ParserConfigurationException	Checked	Java	false	false
27	org.xml.sax.SAXException	Checked	Library	false	false
28	java.lang.ClassNotFoundException	Checked	Java	false	false
28	java.lang.InstantiationException	Checked	Java	false	false
28	java.lang.IllegalAccessException	Checked	Java	false	false
29	java.lang.ClassNotFoundException	Checked	Java	false	false
30	java.net.URISyntaxException	Checked	Java	false	false
31	com.google.zxing.NotFoundException	Checked	System	false	false
32	com.google.zxing.NotFoundException	Checked	System	false	false
33	com.google.zxing.NotFoundException	Checked	System	false	true
34	java.io.IOException	Checked	Java	false	false
35	java.io.IOException	Checked	Java	false	false
36	com.google.zxing.ReaderException	Checked	System	false	false
37	java.lang.IllegalArgumentException	Unchecked	Java	false	false
38	java.lang.IllegalAccessException	Checked	Java	false	false
38	java.lang.NoSuchMethodException	Checked	Java	false	false
38	java.lang.ClassNotFoundException	Checked	Java	false	false
39	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
